Bezeichnung,Bundesland,Gemeinde,KG-Nr. (Fundplatz),lfd. Nr. (fortlaufende Nr. für alle Fundplätze einer KG),KGName,DMS Bescheid ( §2a),DMS Bescheid (§3), Aktive Fundstelle, fragwürdig/zerstört,Beschreibung (Lage der Fundstelle),Flur/Adresse,Parzellen,Bemerkung,sichtbar,ergraben,unbekannt,Prospektion,von (Jahr),bis (Jahr),Nachweis/FUNDE,Kriegsgefangenenlager,Zwangsarbeiterlager,Umsiedlungslager,KZ,Außenlager,Anderes Lager,Befund,Fundgewinnung ,Fundjahre,Fundgeschichte,Vor Ort,Archiv,Museum,Literatur,Höhe,Meridian,x,y,erstellt nach,Bearbeiter,Ersteintrag,Letzteintrag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Badgasse,Wien,Wien Alsergrund,1002,1,Alsergrund,N,N,N,J,genaue Lage unklar,Badgasse,,,,,J,N,1942,1945,Archiv,N,J,N,N,N,,Zwangsarbeiterlager für jugoslawische Zwangsarbeiter,Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,,,,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Grünentorgasse 26,Wien,Wien Alsergrund,1002,2,Alsergrund,N,N,N,J,rezent überbaut,Grünentorgasse 26,1407/10,,N,N,N,J,1942,1945,Archiv,N,N,N,N,N,Lehrlingsheim,"eigentlich ein jüdisches Lehrlingsheim, teilweise Lagercharakter",Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,34,16.3366171,48.22079,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Höfergasse 13,Wien,Wien Alsergrund,1002,3,Alsergrund,N,N,N,J,rezent überbaut,Höfergasse 13/Hofergasse 13,246/1,,N,N,N,J,1942,1945,Archiv,N,J,N,N,N,,Zwangsarbeiterlager für jugoslawische Zwangsarbeiter,Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,34,16.349743,48.217546,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Nordbergstraße,Wien,Wien Alsergrund,1002,4,Alsergrund,N,N,N,J,genaue Lage unklar,Nordbergstraße,,,,,J,N,1942,1945,Archiv,N,J,N,N,N,,Zwangsarbeiterlager für griechische Zwangsarbeiter,Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,,,,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Nussdorferstraße 1,Wien,Wien Alsergrund,1002,5,Alsergrund,N,N,N,J,rezent überbaut,Nussdorferstraße 1,486,,N,N,N,J,1942,1945,Archiv,N,J,N,N,N,,Zwangsarbeiterlager für tschechische Zwangsarbeiter,Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,34,16.353029,48.22266,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Pelikangasse,Wien,Wien Alsergrund,1002,6,Alsergrund,N,N,N,J,genaue Lage unklar,Pelikangasse ,,,,,J,N,1942,1945,Archiv,N,J,N,N,N,,Zwangsarbeiterlager für italienische Zwangsarbeiter,Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,,,,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Rossauer Lände 33,Wien,Wien Alsergrund,1002,7,Alsergrund,N,N,N,N,bestehendes Gebäude? /rezent überbaut ?,Rossauer Lände 33,1328/10,,N,N,N,J,1942,1945,Archiv,N,J,N,N,N,,"Zwangsarbeiterlager der GESTAPO für russische, türkische und griechische Zwangsarbeiter",Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,34,16.36681,48.224437,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wien Tepserngasse,Wien,Wien Alsergrund,1002,8,Alsergrund,N,N,N,J,genaue Lage unklar,Tepserngasse,,,,,J,N,1942,1945,Archiv,N,J,N,N,N,,"Zwangsarbeiterlager für russische und polnische Zwangsarbeiter, Reichsbahn",Literatur,,"gelistet Wiener Stadt- und Landesarchiv. M. Abt. 209, Wilheminenspital, A1 – Direktionsakten",,J,,"Stefan August Lütgenau: Zwangsarbeit im ""Reichsgau"" Wien 1938-1945. In: Studien zur Wiener Geschichte. Jahrbuch des Vereins für Geschichte der Stadt Wien 59 (2003), S. 167-186; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Der Einsatz von Zwangsarbeit während der NS-Zeit bei der Stadt Wien. Studie verfasst im Auftrag des Magistrats der Stadt Wien, Magistratsabteilung 8, Wiener Stadt- und Landesarchiv. Wien 2000; Stefan August Lütgenau / Maria Mesner / Alexander Schröck: Die Wiener städtischen Unternehmungen in der Zeit des Nationalsozialismus: Exposé zu einer historischen Studie über den Einsatz von Fremd- und ZwangsarbeiterInnen. Wien 2000",,,,,Adresse,Kalser,13/09/19,26/09/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
